ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COG	COGID	ALIGNMENT	STRUCTURE
2732	Hefei	eleven	十一	ʂəʔ⁵jəʔ⁵	ʂ ə ʔ ⁵ j ə ʔ ⁵		49	472	ʂ ə ʔ ⁵ - j ə ʔ ⁵	C V C T C V C T
2733	Jinan	eleven	十一	ʂʅ⁴²i²¹³	ʂ ʅ ⁴² i ²¹³		49	472	ʂ ʅ - ⁴² - - i - ²¹³	C V T V T
2741	Kunming	eleven	十一	ʂʅ³¹i³¹	ʂ ʅ ³¹ i ³¹		49	472	ʂ ʅ - ³¹ - - i - ³¹	C V T V T
2728	Meixian	eleven	十一	səp⁵it¹	s ə p ⁵ i t ¹		49	472	s ə p ⁵ - - i t ¹	C V C T V C T
2736	Nanchang	eleven	十一	sɨʔ²iʔ⁵	s ɨ ʔ ² i ʔ ⁵		49	472	s ɨ ʔ ² - - i ʔ ⁵	C V C T V C T
2742	Shanghai	eleven	十一	zəʔ¹jɪʔ⁵	z ə ʔ ¹ j ɪ ʔ ⁵		49	472	z ə ʔ ¹ - j ɪ ʔ ⁵	C V C T C V C T
2739	Shexian	eleven	十一	ɕi²²iʔ²¹	ɕ i ²² i ʔ ²¹		49	472	ɕ i - ²² - - i ʔ ²¹	C V T V C T
2738	Taiyuan	eleven	十一	səʔ⁵⁴jəʔ²	s ə ʔ ⁵⁴ j ə ʔ ²		49	472	s ə ʔ ⁵⁴ - j ə ʔ ²	C V C T C V C T
2731	Xiamen	eleven	十一	ʦap⁵it³²	ts a p ⁵ i t ³²		49	472	ts a p ⁵ - - i t ³²	C V C T V C T
642	Guangzhou	face	面	min²²	m i n ²²		229	265	m - i n ²²	C V C T
632	Meixian	face	面	mjen⁵³	m j e n ⁵³		229	265	m j e n ⁵³	C C V C T
638	Xiamen	face	面	bin²²	b i n ²²		229	265	b - i n ²²	C V C T
649	Beijing	face	脸	ljan²¹⁴	l j a n ²¹⁴		896	804	l j a n ²¹⁴	C C V C T
634	Changsha	face	脸	ljẽ⁴¹	l j ẽ ⁴¹		896	804	l j ẽ - ⁴¹	C C V T
644	Chengdu	face	脸	njan⁵³	n j a n ⁵³		896	804	n j a n ⁵³	C C V C T
635	Guixian	face	脸	ljan⁴²	l j a n ⁴²		896	804	l j a n ⁴²	C C V C T
639	Hefei	face	脸	ljɪ̃²⁴	l j ɪ̃ ²⁴		896	804	l j ɪ̃ - ²⁴	C C V T
640	Jinan	face	脸	ljã⁵⁵	l j ã ⁵⁵		896	804	l j ã - ⁵⁵	C C V T
650	Kunming	face	脸	ljɛ̃⁵³	l j ɛ̃ ⁵³		896	804	l j ɛ̃ - ⁵³	C C V T
643	Nanchang	face	脸	ljɛn²¹³	l j ɛ n ²¹³		896	804	l j ɛ n ²¹³	C C V C T
646	Taiyuan	face	脸	lje⁵³	l j e ⁵³		896	804	l j e - ⁵³	C C V T
2202	Guangzhou	fat	肥	fej²¹	f e j ²¹		941	845	f - e j ²¹	C V C T
2193	Meixian	fat	肥	pʰi¹¹	pʰ i ¹¹		941	845	pʰ - i - ¹¹	C V T
2197	Xiamen	fat	肥	pwi³⁵	p w i ³⁵		941	845	p w i - ³⁵	C C V T
2194	Changsha	fat	壮	ʨɥan⁵⁵	tɕ ɥ a n ⁵⁵		1143	124	tɕ ɥ a n ⁵⁵	C C V C T
2200	Hangzhou	fat	壮	ʦɥɑŋ⁴⁴⁵	ts ɥ ɑ ŋ ⁴⁴⁵		1143	124	ts ɥ ɑ ŋ ⁴⁴⁵	C C V C T
2210	Shanghai	fat	壮	ʦɑ̃³	ts ɑ̃ ³		1143	124	ts - ɑ̃ - ³	C V T
2206	Shexian	fat	壮	ʦo³²⁴	ts o ³²⁴		1143	124	ts - o - ³²⁴	C V T
2208	Beijing	fat	胖	pʰɑŋ⁵¹	pʰ ɑ ŋ ⁵¹		102	19	pʰ ɑ ŋ ⁵¹	C V C T
2195	Changsha	fat	胖	pʰan⁵⁵	pʰ a n ⁵⁵		102	19	pʰ a n ⁵⁵	C V C T
2204	Chengdu	fat	胖	pʰaŋ¹³	pʰ a ŋ ¹³		102	19	pʰ a ŋ ¹³	C V C T
2196	Guixian	fat	胖	pʰaŋ²¹³	pʰ a ŋ ²¹³		102	19	pʰ a ŋ ²¹³	C V C T
2201	Hangzhou	fat	胖	pʰɑŋ⁴⁴⁵	pʰ ɑ ŋ ⁴⁴⁵		102	19	pʰ ɑ ŋ ⁴⁴⁵	C V C T
2198	Hefei	fat	胖	pʰɑ̃⁵³	pʰ ɑ̃ ⁵³		102	19	pʰ ɑ̃ - ⁵³	C V T
2199	Jinan	fat	胖	pʰaŋ²¹	pʰ a ŋ ²¹		102	19	pʰ a ŋ ²¹	C V C T
2209	Kunming	fat	胖	pʰᴀ̃²¹²	pʰ ᴀ̃/ã̱ ²¹²		102	19	pʰ ᴀ̃/ã̱ - ²¹²	C V T
2203	Nanchang	fat	胖	pʰɔŋ²¹³	pʰ ɔ ŋ ²¹³		102	19	pʰ ɔ ŋ ²¹³	C V C T
2211	Shanghai	fat	胖	pʰɑ̃³⁵	pʰ ɑ̃ ³⁵		102	19	pʰ ɑ̃ - ³⁵	C V T
2207	Shexian	fat	胖	pʰo³²⁴	pʰ o ³²⁴		102	19	pʰ o - ³²⁴	C V T
847	Chengdu	father	老爸子	naw⁵³pa³¹ʦɿ⁵³	n a w ⁵³ p a ³¹ ts ɿ ⁵³		594	548	n a w ⁵³ p a ³¹ ts - ɿ - ⁵³	C V C T C V T C V T
860	Shanghai	father	爷	ɦja¹³	ɦ j a ¹³		594	548	- - - - - - - ɦ j a - ¹³	C C V T
853	Shexian	father	爷	je⁴⁴	j e ⁴⁴		594	548	- - - - - - - - j e - ⁴⁴	C V T
850	Taiyuan	father	老子	law⁵³ʦəʔ	l a w ⁵³ ts ə ʔ		594	548	l a w ⁵³ - - - ts - ə ʔ -	C V C T C V C
846	Chengdu	father	爸爸	pa³¹pa	p a ³¹ p a		172	217	- p a - ³¹ p a - -	C V T C V
840	Guangzhou	father	爸爸	pa²¹pa⁵⁵	p a ²¹ p a ⁵⁵		172	217	- p a - ²¹ p a - ⁵⁵	C V T C V T
829	Guixian	father	爸爸	pa²¹pa	p a ²¹ p a		172	217	- p a - ²¹ p a - -	C V T C V
837	Jinan	father	爸爸	pa²¹pa	p a ²¹ p a		172	217	- p a - ²¹ p a - -	C V T C V
824	Meixian	father	阿爸	a⁴⁴pa⁴⁴	a ⁴⁴ p a ⁴⁴		172	217	- - a - ⁴⁴ p a - ⁴⁴	V T C V T
843	Nanchang	father	爸爸新	pɑʔ⁵pɑʔ⁰²	p ɑ ʔ ⁵ p ɑ ʔ ⁰²/¹²		172	217	- p ɑ ʔ ⁵ p ɑ ʔ ⁰²/¹²	C V C T C V C T
832	Xiamen	father	老爸	law²²pe²²	l a w ²² p e ²²		172	217	- l a w ²² p e - ²²	C V C T C V T
838	Jinan	father	大大	ta⁴²ta	t a ⁴² t a		35	356	t a ⁴² t a - -	C V T C V
854	Beijing	father	爹	tjɛ⁵⁵	t j ɛ ⁵⁵		264	289	t j ɛ ⁵⁵ - - - -	C C V T
826	Changsha	father	爹爹	tje³³tje	t j e ³³ t j e		264	289	t j e ³³ t j e -	C C V T C C V
848	Chengdu	father	爹	tje⁵⁵	t j e ⁵⁵		264	289	t j e ⁵⁵ - - - -	C C V T
830	Guixian	father	爹	tjɛ⁵⁵	t j ɛ ⁵⁵		264	289	t j ɛ ⁵⁵ - - - -	C C V T
836	Jinan	father	爹	tjə²¹³	t j ə ²¹³		264	289	t j ə ²¹³ - - - -	C C V T
857	Kunming	father	爹	tjɛ⁴⁴	t j ɛ ⁴⁴		264	289	t j ɛ ⁴⁴ - - - -	C C V T
858	Shanghai	father	爹爹	tja⁵³tja⁵³	t j a ⁵³ t j a ⁵³		264	289	t j a ⁵³ t j a ⁵³	C C V T C C V T
835	Hefei	father	伯伯	pɐʔ⁵pɐʔ⁵	p ɐ ʔ ⁵ p ɐ ʔ ⁵		464	452	- - - - - - p ɐ ʔ ⁵ p ɐ ʔ ⁵	C V C T C V C T
859	Shanghai	father	阿伯	aʔ⁵paʔ⁵	a ʔ ⁵ p a ʔ ⁵		464	452	- - - - - - - a ʔ ⁵ p a ʔ ⁵	V C T C V C T
855	Beijing	father	爸	pa⁵¹	p a ⁵¹		143	194	p a - ⁵¹	C V T
845	Chengdu	father	爸	pa³¹	p a ³¹		143	194	p a - ³¹	C V T
842	Nanchang	father	爸	pɑʔ⁵	p ɑ ʔ ⁵		143	194	p ɑ ʔ ⁵	C V C T
851	Taiyuan	father	爸	pa⁴⁵	p a ⁴⁵		143	194	p a - ⁴⁵	C V T
780	Beijing	fingernail	指甲	t͡ʂʅ⁵⁵ʨja²	ʈʂ ʅ ⁵⁵ tɕ j a ²		120	177	ʈʂ - ʅ - ⁵⁵ tɕ j a - - - ² - - - -	C V T C C V T
770	Changsha	fingernail	指甲子	t͡ʂʅ²⁴ka²⁴ʦɿ	ʈʂ ʅ ²⁴ k a ²⁴ ts ɿ		120	177	ʈʂ - ʅ - ²⁴ k - a - - - ²⁴ ts ɿ - -	C V T C V T C V
777	Chengdu	fingernail	指甲	ʦɿ⁵³ʨja³¹	ts ɿ ⁵³ tɕ j a ³¹		120	177	ts - ɿ - ⁵³ tɕ j a - - - ³¹ - - - -	C V T C C V T
771	Guixian	fingernail	指甲	ʦɿ⁴²ʨja²¹	ts ɿ ⁴² tɕ j a ²¹		120	177	ts - ɿ - ⁴² tɕ j a - - - ²¹ - - - -	C V T C C V T
773	Hefei	fingernail	指甲盖	t͡ʂəʔ⁵ʨjɐʔ⁵kᴇ⁵³	ʈʂ ə ʔ ⁵ tɕ j ɐ ʔ ⁵ k ᴇ/e̞ ⁵³		120	177	ʈʂ - ə ʔ ⁵ tɕ j ɐ - - ʔ ⁵ k ᴇ/e̞ - ⁵³	C V C T C C V C T C V T
774	Jinan	fingernail	指甲盖儿	t͡ʂʅ²¹³ʨjakɛr²¹	ʈʂ ʅ ²¹³ tɕ j a k ɛ r ²¹		120	177	ʈʂ - ʅ - ²¹³ tɕ j a k ɛ r ²¹ - - - -	C V T C C V C V C T
781	Kunming	fingernail	指甲	t͡ʂʅ³¹ʨjᴀ³¹	ʈʂ ʅ ³¹ tɕ j ᴀ/a̱ ³¹		120	177	ʈʂ - ʅ - ³¹ tɕ j ᴀ/a̱ - - - ³¹ - - - -	C V T C C V T
769	Meixian	fingernail	手指甲	su³¹ʦɿ³¹kap¹	s u ³¹ ts ɿ ³¹ k a p ¹		120	177	s - u - ³¹ ts - ɿ - - - ³¹ k a p ¹	C V T C V T C V C T
776	Nanchang	fingernail	指甲子	ʦʔ⁵kaʔ⁰²ʦɿ⁰²	ts ʔ ⁵ k a ʔ ⁰²/¹² ts ɿ ⁰²/¹²		120	177	ts - - ʔ ⁵ k - a - - ʔ ⁰²/¹² ts ɿ - ⁰²/¹²	C C T C V C T C V T
779	Shexian	fingernail	手指甲	ɕju³⁵ʦɿ³⁵kaʔ²¹	ɕ j u ³⁵ ts ɿ ³⁵ k a ʔ ²¹		120	177	ɕ j u - ³⁵ ts - ɿ - - - ³⁵ k a ʔ ²¹	C C V T C V T C V C T
778	Taiyuan	fingernail	指甲	ʦəʔ²ʨjaʔ²	ts ə ʔ ² tɕ j a ʔ ²		120	177	ts - ə ʔ ² tɕ j a - - ʔ ² - - - -	C V C T C C V C T
775	Guangzhou	fingernail	膝头	sɐt⁵tʰɐw²¹	s ɐ t ⁵ tʰ ɐ w ²¹		326	336	- - - - - s - ɐ t ⁵ tʰ ɐ w - - ²¹ - - - -	C V C T C V C T
2759	Beijing	first	第一	ti⁵¹i⁵⁵	t i ⁵¹ i ⁵⁵		23	266	t i - ⁵¹ - - i - ⁵⁵	C V T V T
2748	Changsha	first	第一	ti¹¹i²⁴	t i ¹¹ i ²⁴		23	266	t i - ¹¹ - - i - ²⁴	C V T V T
2756	Chengdu	first	第一	ti¹³i³¹	t i ¹³ i ³¹		23	266	t i - ¹³ - - i - ³¹	C V T V T
2754	Guangzhou	first	第一	tɐj²²jɐt⁵	t ɐ j ²² j ɐ t ⁵		23	266	t ɐ j ²² - j ɐ t ⁵	C V C T C V C T
2749	Guixian	first	第一	ti²¹³i²¹	t i ²¹³ i ²¹		23	266	t i - ²¹³ - - i - ²¹	C V T V T
2753	Hangzhou	first	第一	di¹³ʔjəʔ⁵	d i ¹³ ʔ j ə ʔ ⁵		23	266	d i - ¹³ ʔ j ə ʔ ⁵	C V T C C V C T
2751	Hefei	first	第一	ʦɿ⁵³jəʔ⁵	ts ɿ ⁵³ j ə ʔ ⁵		23	266	ts ɿ - ⁵³ - j ə ʔ ⁵	C V T C V C T
2752	Jinan	first	第一	ti²¹i²¹³	t i ²¹ i ²¹³		23	266	t i - ²¹ - - i - ²¹³	C V T V T
2760	Kunming	first	第一	ti²¹²i³¹	t i ²¹² i ³¹		23	266	t i - ²¹² - - i - ³¹	C V T V T
2747	Meixian	first	第一	tʰi⁵³it¹	tʰ i ⁵³ i t ¹		23	266	tʰ i - ⁵³ - - i t ¹	C V T V C T
2755	Nanchang	first	第一	tʰi²¹iʔ⁵	tʰ i ²¹ i ʔ ⁵		23	266	tʰ i - ²¹ - - i ʔ ⁵	C V T V C T
2761	Shanghai	first	第一	di¹³jɪʔ⁵	d i ¹³ j ɪ ʔ ⁵		23	266	d i - ¹³ - j ɪ ʔ ⁵	C V T C V C T
2758	Shexian	first	第一	tʰi²²iʔ²¹	tʰ i ²² i ʔ ²¹		23	266	tʰ i - ²² - - i ʔ ²¹	C V T V C T
2757	Taiyuan	first	第一	ti⁴⁵jəʔ²	t i ⁴⁵ j ə ʔ ²		23	266	t i - ⁴⁵ - j ə ʔ ²	C V T C V C T
2750	Xiamen	first	第一	te²²it³²	t e ²² i t ³²		23	266	t e - ²² - - i t ³²	C V T V C T
746	Beijing	fist	拳头	ʨʰɥan³⁵tʰow³	tɕʰ ɥ a n ³⁵ tʰ o w ³		723	656	tɕʰ ɥ a n ³⁵ tʰ o w ³ - - -	C C V C T C V C T
730	Changsha	fist	拳头骨	ʨɥẽ¹³təw¹³ku	tɕ ɥ ẽ ¹³ t ə w ¹³ k u		723	656	tɕ ɥ ẽ - ¹³ t ə w ¹³ k u -	C C V T C V C T C V
738	Guangzhou	fist	拳头	kʰyn²¹tʰɐw²¹	kʰ y n ²¹ tʰ ɐ w ²¹		723	656	kʰ - y n ²¹ tʰ ɐ w ²¹ - - -	C V C T C V C T
737	Hangzhou	fist	拳头	ʣɥõ²¹³dej²¹³	dz ɥ õ ²¹³ d e j ²¹³		723	656	dz ɥ õ - ²¹³ d e j ²¹³ - - -	C C V T C V C T
734	Hefei	fist	拳头	ʨʰɥɪ̃⁵⁵tʰɯ	tɕʰ ɥ ɪ̃ ⁵⁵ tʰ ɯ		723	656	tɕʰ ɥ ɪ̃ - ⁵⁵ tʰ ɯ - - - - -	C C V T C V
735	Jinan	fist	拳头	ʨʰɥã⁴²tʰow	tɕʰ ɥ ã ⁴² tʰ o w		723	656	tɕʰ ɥ ã - ⁴² tʰ o w - - - -	C C V T C V C
729	Meixian	fist	拳头	kʰjan¹¹tʰew¹¹	kʰ j a n ¹¹ tʰ e w ¹¹		723	656	kʰ j a n ¹¹ tʰ e w ¹¹ - - -	C C V C T C V C T
739	Nanchang	fist	拳头	ʨʰɥɵn²⁴tʰɛw⁰⁴	tɕʰ ɥ ɵ n ²⁴ tʰ ɛ w ⁰⁴/¹⁴		723	656	tɕʰ ɥ ɵ n ²⁴ tʰ ɛ w ⁰⁴/¹⁴ - - -	C C V C T C V C T
748	Shanghai	fist	拳头	ʥɥø¹³dɤ¹³	dʑ ɥ ø ¹³ d ɤ ¹³		723	656	dʑ ɥ ø - ¹³ d ɤ - ¹³ - - -	C C V T C V T
733	Xiamen	fist	拳头母	kun³⁵tʰaw³⁵bu⁵³	k u n ³⁵ tʰ a w ³⁵ b u ⁵³		723	656	k - u n ³⁵ tʰ a w ³⁵ b u ⁵³	C V C T C V C T C V T
86	Changsha	flash (verb)	扯闪	t͡ʂʰʅ⁴¹ʂə̃⁴¹	ʈʂʰ ʅ ⁴¹ ʂ ə̃ ⁴¹		885	792	ʈʂʰ - ʅ - ⁴¹ - - - ʂ - ə̃ - ⁴¹	C V T C V T
88	Guixian	flash (verb)	扯火闪	ʦʰej⁴²xo⁴²san⁴²	tsʰ e j ⁴² x o ⁴² s a n ⁴²		885	792	tsʰ - e j ⁴² x o ⁴² s - a n ⁴²	C V C T C V T C V C T
100	Kunming	flash (verb)	扯闪	t͡ʂʰə⁵³ʂᴀ̃⁵³	ʈʂʰ ə ⁵³ ʂ ᴀ̃/ã̱ ⁵³		885	792	ʈʂʰ - ə - ⁵³ - - - ʂ - ᴀ̃/ã̱ - ⁵³	C V T C V T
98	Shexian	flash (verb)	扯热闪	ʨʰja³⁵ne²²ɕɥe³²⁴	tɕʰ j a ³⁵ n e ²² ɕ ɥ e ³²⁴		885	792	tɕʰ j a - ³⁵ n e ²² ɕ ɥ e - ³²⁴	C C V T C V T C C V T
99	Beijing	flash (verb)	闪电	ʂan²¹⁴tjan⁵¹	ʂ a n ²¹⁴ t j a n ⁵¹		86	770	ʂ a n ²¹⁴ - - - t j a n ⁵¹	C V C T C C V C T
92	Guangzhou	flash (verb)	闪电	sim³⁵tin²²	s i m ³⁵ t i n ²²		86	770	s i m ³⁵ - - - t - i n ²²	C V C T C V C T
89	Hefei	flash (verb)	打闪	ta²⁴ʂən²⁴	t a ²⁴ ʂ ə n ²⁴		86	770	t a - ²⁴ - - - ʂ - ə n ²⁴	C V T C V C T
90	Jinan	flash (verb)	打闪	ta⁵⁵ʂã⁵⁵	t a ⁵⁵ ʂ ã ⁵⁵		86	770	t a - ⁵⁵ - - - ʂ - ã - ⁵⁵	C V T C V T
102	Shanghai	flash (verb)	闪电	sø³⁵di¹³	s ø ³⁵ d i ¹³		86	770	s ø - ³⁵ - - - d - i - ¹³	C V T C V T
97	Shexian	flash (verb)	打热闪	ta³⁵ne²²ɕɥe³²⁴	t a ³⁵ n e ²² ɕ ɥ e ³²⁴		86	770	t a - ³⁵ n e ²² ɕ ɥ e - ³²⁴	C V T C V T C C V T
96	Taiyuan	flash (verb)	打闪	ta⁵³sæ̃⁵³	t a ⁵³ s æ̃ ⁵³		86	770	t a - ⁵³ - - - s - æ̃ - ⁵³	C V T C V T
765	Beijing	forefinger	手指头	ʂow²¹⁴t͡ʂʅ²¹⁴tʰow⁴	ʂ o w ²¹⁴ ʈʂ ʅ ²¹⁴ tʰ o w ⁴		853	763	ʂ - o w ²¹⁴ ʈʂ ʅ - ²¹⁴ tʰ o w ⁴	C V C T C V T C V C T
750	Changsha	forefinger	手指脑	ʂəw⁴¹t͡ʂʅ²⁴law⁴¹	ʂ ə w ⁴¹ ʈʂ ʅ ²⁴ l a w ⁴¹		853	763	ʂ - ə w ⁴¹ ʈʂ ʅ - ²⁴ l a w ⁴¹	C V C T C V T C V C T
760	Chengdu	forefinger	手指	səw⁵³ʦɿ	s ə w ⁵³ ts ɿ		853	763	s - ə w ⁵³ - - - - ts ɿ - -	C V C T C V
758	Guangzhou	forefinger	手指头	sɐw³⁵ʦi³⁵tʰɐw²¹	s ɐ w ³⁵ ts i ³⁵ tʰ ɐ w ²¹		853	763	s - ɐ w ³⁵ ts i - ³⁵ tʰ ɐ w ²¹	C V C T C V T C V C T
752	Guixian	forefinger	手指头	səw⁴²ʦɿ⁴²tʰəw²¹	s ə w ⁴² ts ɿ ⁴² tʰ ə w ²¹		853	763	s - ə w ⁴² ts ɿ - ⁴² tʰ ə w ²¹	C V C T C V T C V C T
757	Hangzhou	forefinger	手指头	sej⁵³ʦɿ⁵³dej²¹³	s e j ⁵³ ts ɿ ⁵³ d e j ²¹³		853	763	s - e j ⁵³ ts ɿ - ⁵³ d e j ²¹³	C V C T C V T C V C T
756	Jinan	forefinger	手指头	ʂow⁵⁵t͡ʂʅ²¹³tʰow	ʂ o w ⁵⁵ ʈʂ ʅ ²¹³ tʰ o w		853	763	ʂ - o w ⁵⁵ ʈʂ ʅ - ²¹³ tʰ o w -	C V C T C V T C V C
766	Kunming	forefinger	手指头	ʂəw⁵³t͡ʂʅ³¹tʰəw³¹	ʂ ə w ⁵³ ʈʂ ʅ ³¹ tʰ ə w ³¹		853	763	ʂ - ə w ⁵³ ʈʂ ʅ - ³¹ tʰ ə w ³¹	C V C T C V T C V C T
749	Meixian	forefinger	手指	su³¹ʦɿ³¹	s u ³¹ ts ɿ ³¹		853	763	s - u - ³¹ - - - - ts ɿ - ³¹	C V T C V T
767	Shanghai	forefinger	手指头	sɤ³⁵ʦɿ³⁵dɤ¹³	s ɤ ³⁵ ts ɿ ³⁵ d ɤ ¹³		853	763	s - ɤ - ³⁵ ts ɿ - ³⁵ d ɤ - ¹³	C V T C V T C V T
763	Taiyuan	forefinger	手指头	səw⁵³ʦəʔ²tʰəw¹¹	s ə w ⁵³ ts ə ʔ ² tʰ ə w ¹¹		853	763	s - ə w ⁵³ ts ə ʔ ² tʰ ə w ¹¹	C V C T C V C T C V C T
754	Xiamen	forefinger	手指	ʦʰju⁵³ʦãj⁵³	tsʰ j u ⁵³ ts ã j ⁵³		853	763	tsʰ j u - ⁵³ - - - - ts ã j ⁵³	C C V T C V C T
761	Chengdu	forefinger	指头儿	ʦɿ⁵³tʰər³¹	ts ɿ ⁵³ tʰ ə r ³¹		535	510	ts ɿ - ⁵³ tʰ ə r ³¹ - - -	C V T C V C T
751	Guixian	forefinger	指头	ʦɿ⁴²tʰəw²¹	ts ɿ ⁴² tʰ ə w ²¹		535	510	ts ɿ - ⁴² tʰ ə w ²¹ - - -	C V T C V C T
759	Nanchang	forefinger	指头子	ʦɨʔ⁵tʰɛw⁰²ʦɿ⁰²	ts ɨ ʔ ⁵ tʰ ɛ w ⁰²/¹² ts ɿ ⁰²/¹²		535	510	ts ɨ ʔ ⁵ tʰ ɛ w ⁰²/¹² ts ɿ ⁰²/¹²	C V C T C V C T C V T
621	Hangzhou	forehead	额角头	ŋɑʔ²koʔ⁵dej²¹³	ŋ ɑ ʔ ² k o ʔ ⁵ d e j ²¹³		111	95	ŋ - ɑ ʔ ² k o ʔ ⁵ d - e j ²¹³	C V C T C V C T C V C T
630	Kunming	forehead	额勒头	ə³¹lə⁴⁴tʰəw³¹	ə ³¹ l ə ⁴⁴ tʰ ə w ³¹		111	95	- - ə - ³¹ l ə - ⁴⁴ tʰ - ə w ³¹	V T C V T C V C T
614	Meixian	forehead	额角	ŋjak¹kok¹	ŋ j a k ¹ k o k ¹		111	95	ŋ j a k ¹ k o k ¹ - - - - -	C C V C T C V C T
631	Shanghai	forehead	额角头	ŋaʔ¹³koʔ⁵dɤ¹³	ŋ a ʔ ¹³ k o ʔ ⁵ d ɤ ¹³		111	95	ŋ - a ʔ ¹³ k o ʔ ⁵ d - ɤ - ¹³	C V C T C V C T C V T
627	Shexian	forehead	额角头	ŋɛ²¹kɔ²¹tʰju⁴⁴	ŋ ɛ ²¹ k ɔ ²¹ tʰ j u ⁴⁴		111	95	ŋ - ɛ - ²¹ k ɔ - ²¹ tʰ j u - ⁴⁴	C V T C V T C C V T
616	Changsha	forehead	额头	ŋə²⁴təw¹³	ŋ ə ²⁴ t ə w ¹³		932	836	ŋ ə - ²⁴ t ə w ¹³ - - - - -	C V T C V C T
622	Guangzhou	forehead	额头	ŋak²tʰɐw²¹	ŋ a k ² tʰ ɐ w ²¹		932	836	ŋ a k ² tʰ ɐ w ²¹ - - - - -	C V C T C V C T
619	Hefei	forehead	额脑头	ɐʔ⁵lɔ²⁴tʰɯ⁵⁵	ɐ ʔ ⁵ l ɔ ²⁴ tʰ ɯ ⁵⁵		932	836	- ɐ ʔ ⁵ l ɔ - ²⁴ tʰ - ɯ - ⁵⁵	V C T C V T C V T
618	Xiamen	forehead	头额	tʰaw³⁵hjaʔ⁵	tʰ a w ³⁵ h j a ʔ ⁵		932	836	- - - - tʰ a w ³⁵ h j a ʔ ⁵	C V C T C C V C T
2634	Beijing	four	四	sɿ⁵¹	s ɿ ⁵¹		1156	136	s ɿ - ⁵¹	C V T
2623	Changsha	four	四	sɿ⁵⁵	s ɿ ⁵⁵		1156	136	s ɿ - ⁵⁵	C V T
2631	Chengdu	four	四	sɿ¹³	s ɿ ¹³		1156	136	s ɿ - ¹³	C V T
2629	Guangzhou	four	四	sej³³	s e j ³³		1156	136	s e j ³³	C V C T
2624	Guixian	four	四	sɿ²¹³	s ɿ ²¹³		1156	136	s ɿ - ²¹³	C V T
2628	Hangzhou	four	四	sɿ⁴⁴⁵	s ɿ ⁴⁴⁵		1156	136	s ɿ - ⁴⁴⁵	C V T
2626	Hefei	four	四	sɿ⁵³	s ɿ ⁵³		1156	136	s ɿ - ⁵³	C V T
2627	Jinan	four	四	sɿ²¹	s ɿ ²¹		1156	136	s ɿ - ²¹	C V T
2635	Kunming	four	四	sɿ²¹²	s ɿ ²¹²		1156	136	s ɿ - ²¹²	C V T
2622	Meixian	four	四	si⁵³	s i ⁵³		1156	136	s i - ⁵³	C V T
2630	Nanchang	four	四	sɿ⁴⁵	s ɿ ⁴⁵		1156	136	s ɿ - ⁴⁵	C V T
2636	Shanghai	four	四	sɿ³⁵	s ɿ ³⁵		1156	136	s ɿ - ³⁵	C V T
2633	Shexian	four	四	sɿ³²⁴	s ɿ ³²⁴		1156	136	s ɿ - ³²⁴	C V T
2632	Taiyuan	four	四	sɿ⁴⁵	s ɿ ⁴⁵		1156	136	s ɿ - ⁴⁵	C V T
2625	Xiamen	four	四	si²¹	s i ²¹		1156	136	s i - ²¹	C V T
175	Beijing	freeze	结冰	ʨjɛ⁵⁵piŋ⁵⁵	tɕ j ɛ ⁵⁵ p i ŋ ⁵⁵		711	646	tɕ j ɛ - ⁵⁵ p i ŋ ⁵⁵	C C V T C V C T
172	Chengdu	freeze	结冰	ʨje³¹pin⁵⁵	tɕ j e ³¹ p i n ⁵⁵		711	646	tɕ j e - ³¹ p i n ⁵⁵	C C V T C V C T
169	Guangzhou	freeze	结冰	kit³peŋ⁵⁵	k i t ³ p e ŋ ⁵⁵		711	646	k - i t ³ p e ŋ ⁵⁵	C V C T C V C T
162	Guixian	freeze	结冰	ʨjɛ²¹pin	tɕ j ɛ ²¹ p i n		711	646	tɕ j ɛ - ²¹ p i n -	C C V T C V C
168	Hangzhou	freeze	结冰	ʨjəʔ⁵pin³³	tɕ j ə ʔ ⁵ p i n ³³		711	646	tɕ j ə ʔ ⁵ p i n ³³	C C V C T C V C T
166	Hefei	freeze	结冰	ʨiʔ⁵pin²¹	tɕ i ʔ ⁵ p i n ²¹		711	646	tɕ - i ʔ ⁵ p i n ²¹	C V C T C V C T
176	Kunming	freeze	结冰	ʨjɛ³¹pĩ⁴⁴	tɕ j ɛ ³¹ p ĩ ⁴⁴		711	646	tɕ j ɛ - ³¹ p ĩ - ⁴⁴	C C V T C V T
159	Meixian	freeze	结冰	kjat¹pen⁴⁴	k j a t ¹ p e n ⁴⁴		711	646	k j a t ¹ p e n ⁴⁴	C C V C T C V C T
170	Nanchang	freeze	结冰	ʨjɛʔ⁵pin⁴²	tɕ j ɛ ʔ ⁵ p i n ⁴²		711	646	tɕ j ɛ ʔ ⁵ p i n ⁴²	C C V C T C V C T
177	Shanghai	freeze	结冰	ʨjɪʔ⁵piŋ⁵³	tɕ j ɪ ʔ ⁵ p i ŋ ⁵³		711	646	tɕ j ɪ ʔ ⁵ p i ŋ ⁵³	C C V C T C V C T
164	Xiamen	freeze	结冰	kjat³²piŋ⁵⁵	k j a t ³² p i ŋ ⁵⁵		711	646	k j a t ³² p i ŋ ⁵⁵	C C V C T C V C T
